accuracy,n_estimators,learning_rate,max_depth
0.5871036194746957,485.0,0.35151515151515156,26.0
0.5987307815502884,31.0,0.0693939393939394,24.0
0.6031750480461243,98.0,0.11888888888888888,15.0
0.592432735426009,169.0,0.049595959595959596,14.0
0.654099935938501,134.0,0.4356565656565657,5.0
0.5924487508007686,309.0,0.2822222222222222,27.0
0.616595932094811,150.0,0.15353535353535352,22.0
0.641599935938501,73.0,0.3713131313131313,6.0
0.6156990711082638,327.0,0.07434343434343435,29.0
0.602290198590647,488.0,0.10404040404040403,19.0
0.5799527546444587,280.0,0.3762626262626263,22.0
0.6031590326713646,180.0,0.48515151515151517,20.0
0.6433536194746957,342.0,0.19808080808080808,6.0
0.6451553491351697,254.0,0.11888888888888888,7.0
0.6406750480461243,106.0,0.3812121212121212,10.0
0.5861867392696989,384.0,0.2673737373737374,25.0
0.6147821909032671,499.0,0.02484848484848485,26.0
0.5888613068545804,450.0,0.2822222222222222,23.0
0.6415839205637413,196.0,0.11393939393939394,5.0
0.6103579436258808,277.0,0.15848484848484848,22.0
0.6460642216527867,463.0,0.16838383838383839,6.0
0.6317544843049326,338.0,0.22282828282828285,3.0
0.614798206278027,55.0,0.14858585858585857,2.0
0.6139093529788597,149.0,0.07929292929292929,27.0
0.6067584881486227,405.0,0.0396969696969697,13.0
0.5897861947469571,448.0,0.4208080808080808,24.0
0.6174807815502883,41.0,0.09909090909090909,10.0
0.654099935938501,134.0,0.4356565656565657,5.0
0.6460642216527867,463.0,0.16838383838383839,6.0
0.6451553491351697,254.0,0.11888888888888888,7.0
0.6433536194746957,342.0,0.19808080808080808,6.0
0.641599935938501,73.0,0.3713131313131313,6.0
0.6415839205637413,196.0,0.11393939393939394,5.0
0.6406750480461243,106.0,0.3812121212121212,10.0
0.6317544843049326,338.0,0.22282828282828285,3.0
0.6174807815502883,41.0,0.09909090909090909,10.0
0.654099935938501,134.0,0.4356565656565657,5.0
0.6460642216527867,463.0,0.16838383838383839,6.0
0.6451553491351697,254.0,0.11888888888888888,7.0
0.654099935938501,134.0,0.4356565656565657,5.0
NaN,-0.6571058888530672,-0.14544618097608952,-3.0232876424980013
0.6442584881486227,47.0,0.17333333333333334,10.0
NaN,-0.6588366971474784,-0.07868504966652154,-3.085606791275948
0.6255004804612428,31.0,0.059494949494949496,9.0
NaN,-0.659041957484817,0.6286017307741836,-3.084592672288876
NaN,-0.6586859616182323,0.1341834040564563,-3.0710874904176215
NaN,-0.65801377659389,-0.19751264245139244,-3.0196727066489775
0.6022861947469571,129.0,0.04464646464646464,24.0
0.6344210442024343,154.0,0.3465656565656566,3.0
NaN,-0.6576871171605205,0.11443332244075494,-3.071972431236352
0.5603018898142217,28.0,0.2723232323232323,19.0
NaN,-0.6576889063037186,-0.17336278235623576,-3.0758202995479476
0.6442584881486227,47.0,0.17333333333333334,10.0
0.6344210442024343,154.0,0.3465656565656566,3.0
0.6255004804612428,31.0,0.059494949494949496,9.0
0.6022861947469571,129.0,0.04464646464646464,24.0
0.6442584881486227,47.0,0.17333333333333334,10.0
NaN,-0.26800246572898345,-0.9312713844001048,-0.8084352934890457
NaN,-0.26679385422951896,1.3481169123717573,-0.7935484741200973
NaN,-0.09388835756296743,1.1336347420046295,-1.592967525686655
NaN,-0.2671868113975222,1.2359244176494566,-0.7117709506749526
NaN,-0.267263846267042,1.0863253208290282,-0.72241777876678
NaN,-0.5081049398938831,1.1455683576601245,-1.0354160034153388
NaN,-0.26800246572898345,-0.9312713844001048,-0.8084352934890457
NaN,-0.26679385422951896,1.3481169123717573,-0.7935484741200973
0.6317825112107622,181.0,0.302020202020202,12.0
0.5906590326713645,122.0,0.2475757575757576,28.0
0.6549767777065985,441.0,0.2871717171717172,7.0
NaN,-0.24569985994361332,-0.1965891102825313,-0.44694644954020024
